lsoa_code,msoa_code,ward_code,local_authority_code
E01014673,E02003038,E05010910,E06000023
E01014619,E02003028,E05010917,E06000023
E01014498,E02003014,E05010886,E06000023
E01014711,E02003026,E05010916,E06000023
E01014560,E02003033,E05010894,E06000023
E01014485,E02006949,E05010885,E06000023
E01014626,E02003032,E05010897,E06000023
E01014733,E02003051,E05010918,E06000023
E01033906,E02006951,E05010905,E06000023
E01014633,E02003015,E05010904,E06000023
E01014676,E02003038,E05010910,E06000023
E01014670,E02003031,E05010909,E06000023
E01014516,E02003061,E05010900,E06000023
E01014539,E02003036,E05010895,E06000023
E01014714,E02003026,E05010916,E06000023
E01014561,E02003036,E05010895,E06000023
E01014511,E02003027,E05010909,E06000023
E01014642,E02003018,E05010886,E06000023
E01014691,E02003013,E05010913,E06000023
E01014734,E02003051,E05010918,E06000023
E01014528,E02003046,E05010890,E06000023
E01014572,E02003030,E05010897,E06000023
E01014648,E02003053,E05010906,E06000023
E01014595,E02003062,E05010900,E06000023
E01014623,E02003032,E05010903,E06000023
E01014558,E02003033,E05010894,E06000023
E01014552,E02003037,E05010894,E06000023
E01014709,E02003026,E05010916,E06000023
E01014589,E02003024,E05010899,E06000023
E01033910,E02006952,E05010892,E06000023
E01014639,E02003014,E05010886,E06000023
E01014581,E02003056,E05010898,E06000023
E01014688,E02003013,E05010913,E06000023
E01014525,E02003049,E05010890,E06000023
E01014549,E02003045,E05010893,E06000023
E01014569,E02006890,E05010896,E06000023
E01014592,E02003024,E05010899,E06000023
E01014706,E02003060,E05010915,E06000023
E01014555,E02003045,E05010893,E06000023
E01014501,E02003052,E05010887,E06000023
E01014532,E02003046,E05010891,E06000023
E01014683,E02003039,E05010910,E06000023
E01014576,E02003030,E05010897,E06000023
E01014496,E02003019,E05010886,E06000023
E01014593,E02003062,E05010900,E06000023
E01014502,E02003050,E05010918,E06000023
E01014707,E02003060,E05010915,E06000023
E01014556,E02003037,E05010894,E06000023
E01014637,E02003021,E05010888,E06000023
E01014612,E02003063,E05010902,E06000023
E01014487,E02003031,E05010885,E06000023
E01014680,E02003044,E05010911,E06000023
E01033350,E02006952,E05010905,E06000023
E01014674,E02003038,E05010910,E06000023
E01033344,E02006951,E05010905,E06000023
E01014651,E02003053,E05010906,E06000023
E01014660,E02003025,E05010908,E06000023
E01014613,E02003058,E05010902,E06000023
E01014588,E02003024,E05010899,E06000023
E01014538,E02006951,E05010892,E06000023
E01014524,E02003049,E05010890,E06000023
E01014494,E02003019,E05010886,E06000023
E01014726,E02003064,E05010900,E06000023
E01014646,E02003053,E05010906,E06000023
E01014568,E02006890,E05010896,E06000023
E01014591,E02003024,E05010899,E06000023
E01014705,E02003060,E05010915,E06000023
E01033370,E02006887,E05010892,E06000023
E01014607,E02003058,E05010902,E06000023
E01014661,E02003016,E05010908,E06000023
E01014562,E02003033,E05010895,E06000023
E01014512,E02003027,E05010888,E06000023
E01014629,E02003029,E05010903,E06000023
E01014678,E02003044,E05010911,E06000023
E01033908,E02006952,E05010892,E06000023
E01014735,E02003048,E05010918,E06000023
E01014624,E02003029,E05010903,E06000023
E01014504,E02003052,E05010887,E06000023
